Group,Item,Buy_quantity,Unit,Specification,Where_used,Quantity_basis,Notes,Source
Main materials,Rockler I-Semble horizontal queen steel-frame Murphy bed kit,1,complete kit,HORIZONTAL mount; QUEEN 60 x 80 mattress; steel platform with 40 wood slats,Center bed,One kit,Exact horizontal-queen SKU not verified; do not substitute a vertical kit. Included hardware appears in the separate kit-inventory CSV. Confirm the noted manual discrepancies with Rockler.,https://go.rockler.com/tech/horizontal-murphy-bed-inst-25.pdf pp4-5
Main materials,3/4-inch cabinet-grade plywood,6,48 x 96 inch sheets,Veneer-core cabinet-grade plywood; no MDF/particleboard core,"Main bed cabinet and four bed fronts; LEFT cabinet carcass, shelves and drawer face",Shared-sheet purchasing layout; 21 stock pieces total,"20 finished 3/4-inch pieces plus one stop blank to mill to 5/8 inch. Main: 11 stock pieces from S01/S02/S03/S05/S06; S02 dedicated. Left: 10 stock pieces from S01/S03/S04/S05/S06; S04 dedicated. Shared: S01/S03/S05/S06. Buy S01-S06 once total. 3/4-inch sheet-edge margins and 1/2-inch gaps; grain follows Length_in. No spare full sheet or minimum-sheet claim. See plywood-by-project.csv for every piece.",Project bed-plus-left-cabinet design
Main materials,1/2-inch drawer-box plywood,1,24 x 48 inch project panel,Cabinet-grade plywood; actual thickness must be measured,One LEFT drawer box; four panels,Shared-sheet purchasing layout; four pieces on S07,"Two 8 x 14 sides and two 8 x 26.5 front/back panels; total cut area 4.5 sq ft. Panel length 48 inches is parallel to part Length_in. Confirm project-panel availability; no full-sheet price fallback is assumed.",Project bed-plus-left-cabinet design
Main materials,1/4-inch plywood,1,48 x 96 inch sheet,Cabinet-grade plywood; actual thickness must be measured,One LEFT cabinet back and one drawer bottom,Shared-sheet purchasing layout; two pieces on S08,"One 28-7/16 x 59-15/16 back (1/32 in fit clearance per edge) and one 14 x 27.5 drawer bottom; total cut area 14.5102 sq ft. One-piece back sized to sit inside the carcass; resize it if it is rabbeted or grooved instead. Attachment details remain pending.",Project bed-plus-left-cabinet design
Main materials,Permanent-stop material,0,additional sheets,Finished 5/8 x 3 x 56 inches,Bed closed-position stop,Included in 3/4-inch sheet allocation on S02,Mill the allocated 3/4-inch blank M07 on S02 to the required 5/8-inch finished thickness; do not install it at 3/4 inch.,https://go.rockler.com/tech/horizontal-murphy-bed-inst-25.pdf p6
Compatibility check,Queen mattress,0,purchase not included,60 x 80 inches; at most 10 inches thick and 132 lb; no foam or very light mattress,Bed,One compatible mattress required; compatibility check only,"Not a priced or assumed new purchase. Maximum dynamic moving load 395 lb; suggested dynamic weight 280-395 lb includes door panels, hardware, mattress and bedding. Confirm complete moving-assembly weight; 132 lb is a maximum, not a target or minimum.",https://go.rockler.com/tech/horizontal-murphy-bed-inst-25.pdf p3
Cabinet hardware,Drawer slides,1,pair,14-inch full-extension side-mount ball-bearing slides; nominal 1/2-inch clearance per side; nominal 100-lb pair rating,One LEFT drawer,One modeled 14-inch drawer box,"Exact slide model not selected. Confirm its actual clearance, depth, load-rating conditions and mounting pattern before cutting or drilling.",Project bed-plus-left-cabinet design
Cabinet hardware,Shelf pins,20,pins,5 mm steel shelf supports with flat/spoon bearing surface,Three adjustable LEFT shelves,12 required plus 8 spares; one 20-pin pack allowance,"Four supports per adjustable shelf; fixed shelf above drawer does not use pins. Match future hole diameter, depth and edge distances to the actual pins; shelves are cut 28-3/8 in wide for 1/16 in clearance per side; pin holes remain unmodeled. Verify actual pack contents.",Project bed-plus-left-cabinet design
Cabinet hardware,Matching pulls,3,pulls with fixing bolts,Black bar pulls; approximately 6-inch centers to match representative model,Two bed pulls and one LEFT drawer pull,Three pulls required,"Choose the actual center spacing before drilling. Obtain six matching machine screws sized for 3/4-inch panels; do not buy them twice if supplied with the pulls. Thread depends on selected pull; do not independently assume M4 or #8-32.",https://go.rockler.com/tech/horizontal-murphy-bed-inst-25.pdf p17; project drawer design
Cabinet hardware,Bookcase anti-tip restraints,1,complete restraint kit,"Manufacturer-rated restraints compatible with wood studs and 3/4-inch plywood cabinet structure, with specified fasteners",One installation kit for the LEFT cabinet,One separate tall cabinet,"This is ADDITIONAL to all required bed anchors. Installer must select and install a suitable restraint and any required backing/blocking; do not anchor only to the 1/4-inch back. Restraint is not yet modeled.",Project bed-plus-left-cabinet design
Fasteners and adhesives,#8 x 2-inch wood/cabinet screws,100,screws,"Wood/cabinet screws, not drywall screws",Bed carcass and LEFT cabinet fixed-panel assembly,32 bed screws exact; balance is a cabinet/spare package allowance,"Bed count: 8 at the two headboard/top-bottom joints plus 24 at side-panel joints, per pp9-10. Remaining 68 are a retained package allowance, not a required cabinet count. Cabinet quantity depends on final dado/joinery detailing.","https://go.rockler.com/tech/horizontal-murphy-bed-inst-25.pdf pp7,9-10; project cabinet allowance"
